bank	0	0
bank_country	0	0
vicionarioLeadershipBonusRecord	0	0
bankAccount	1	72
legalDocument	2	72
role	5	72
ticketAssignmentTracking	7	72
legalDocumentField	9	72
testimonial	9	72
asset	12	72
document	12	72
rank	12	72
couponPackage	13	72
validationRules	14	72
mediaResource	16	72
package	16	72
concept	19	72
moduleAction	22	72
news	22	72
logVicionarioNetworkSystem	26	72
businessAddress	28	136
blackList	43	72
parameter	48	72
module	53	72
vicionarioPackagePermission	58	72
roleModule	75	72
moduleActionPermission	122	72
loan	140	72
vicionarioLegalDocument	144	72
businessProfile	230	200
catalog	244	72
country	246	72
loanRequest	266	144
coupon	317	208
logRoi	760	72
notification	832	136
message	935	616
logVicionarioKycStatus	5324	536
logVicionarioKycHistory	8424	15512
vicionarioMoneyAccount	10345	1368
withdrawalRequest	10761	5360
logDeleteInactivePerson	11875	1256
vicionarioKyc	17412	43080
vicionarioKycInfoMatched	17412	608
vicionarioDocument	18686	4360
vicionarioRankRecord	19659	1576
logPersonStatus	20589	1560
notificationDetail	21606	984
messageDetail	21943	1040
logPersonHistory	23330	7448
logVicionarioNetwork	27373	1448
vicionarioAddress	27962	5448
vicionarioPackageAvailableMovement	31652	1040
vicionarioNewUserMigracion	85260	8456
ticketTracker	95170	4968
vicionario	118594	92432
person	118646	47816
wallet	237650	23552
vicionarioPackage	244577	57928
ticket	269478	69832
watchedNews	583916	15384
modulePermission	1788883	44104
logVicionarioPointsHistory	2262827	324984
logActivity	6505166	527176
movement	31590406	3370056
logDetailVicionarioNetwork	416965624	20799024
